Samples ,Date (MM/dd/yyyy) ,Time of day (hh:mm:ss) ,Power (W)
388, 11/28/2024, 13:15:55.681,0.00032221
389, 11/28/2024, 13:15:56.693,0.00032217
390, 11/28/2024, 13:15:57.703,0.00032218
391, 11/28/2024, 13:15:58.716,0.0003221
392, 11/28/2024, 13:15:59.728,0.00032208
393, 11/28/2024, 13:16:00.742,0.00032206
394, 11/28/2024, 13:16:01.754,0.00032211
395, 11/28/2024, 13:16:02.768,0.00032215
396, 11/28/2024, 13:16:03.779,0.00032221
397, 11/28/2024, 13:16:04.793,0.00032224
398, 11/28/2024, 13:16:05.804,0.00032225
399, 11/28/2024, 13:16:06.816,0.00032222
400, 11/28/2024, 13:16:07.830,0.00032215
401, 11/28/2024, 13:16:08.841,0.00032211
402, 11/28/2024, 13:16:09.856,0.00032212
403, 11/28/2024, 13:16:10.870,0.00032215
404, 11/28/2024, 13:16:11.150,0.00032224
405, 11/28/2024, 13:16:12.159,0.00032224
406, 11/28/2024, 13:16:13.171,0.00032228
407, 11/28/2024, 13:16:14.181,0.00032223
408, 11/28/2024, 13:16:15.194,0.00032221
409, 11/28/2024, 13:16:16.207,0.00032215
410, 11/28/2024, 13:16:17.220,0.00032207
411, 11/28/2024, 13:16:18.231,0.00032201
412, 11/28/2024, 13:16:19.242,0.00032213
413, 11/28/2024, 13:16:20.254,0.00032214
414, 11/28/2024, 13:16:21.263,0.00032216
415, 11/28/2024, 13:16:22.277,0.00032226
416, 11/28/2024, 13:16:23.291,0.00032221
417, 11/28/2024, 13:16:24.306,0.00032209
418, 11/28/2024, 13:16:25.317,0.00032199
419, 11/28/2024, 13:16:26.329,0.00032202
420, 11/28/2024, 13:16:27.341,0.000322
421, 11/28/2024, 13:16:28.355,0.00032212
422, 11/28/2024, 13:16:29.364,0.00032218
423, 11/28/2024, 13:16:30.377,0.00032219
424, 11/28/2024, 13:16:31.389,0.00032221
425, 11/28/2024, 13:16:32.401,0.00032207
426, 11/28/2024, 13:16:33.415,0.00032203
427, 11/28/2024, 13:16:34.426,0.00032196
428, 11/28/2024, 13:16:35.429,0.00032207
429, 11/28/2024, 13:16:36.443,0.00032216
430, 11/28/2024, 13:16:37.456,0.0003222
431, 11/28/2024, 13:16:38.469,0.0003222
432, 11/28/2024, 13:16:39.483,0.00032222
433, 11/28/2024, 13:16:40.498,0.00032214
434, 11/28/2024, 13:16:41.510,0.00032203
435, 11/28/2024, 13:16:42.523,0.00032208
436, 11/28/2024, 13:16:43.538,0.00032202
437, 11/28/2024, 13:16:44.552,0.00032218
438, 11/28/2024, 13:16:45.564,0.0003222
439, 11/28/2024, 13:16:46.579,0.00032218
440, 11/28/2024, 13:16:47.594,0.00032219
441, 11/28/2024, 13:16:48.602,0.00032211
442, 11/28/2024, 13:16:49.614,0.000322
443, 11/28/2024, 13:16:50.630,0.00032207
444, 11/28/2024, 13:16:51.644,0.00032211
445, 11/28/2024, 13:16:52.655,0.00032218
446, 11/28/2024, 13:16:53.671,0.00032225
447, 11/28/2024, 13:16:54.685,0.00032218
448, 11/28/2024, 13:16:55.698,0.00032217
449, 11/28/2024, 13:16:56.718,0.0003222
450, 11/28/2024, 13:16:57.735,0.00032212
451, 11/28/2024, 13:16:58.748,0.00032205
452, 11/28/2024, 13:16:59.764,0.00032209
453, 11/28/2024, 13:17:00.775,0.00032215
454, 11/28/2024, 13:17:01.788,0.00032224
455, 11/28/2024, 13:17:02.800,0.00032219
